state,county
NY,Chautauqua
NM,Chaves
TN,Cheatham
MI,Cheboygan
WA,Chelan
NY,Chemung
NY,Chenango
AL,Cherokee
GA,Cherokee
KS,Cherokee
NC,Cherokee
OK,Cherokee
SC,Cherokee
TX,Cherokee
NE,Cherry
VA,Chesapeake City
NH,Cheshire
PA,Chester
VA,Chesterfield
NE,Cheyenne
TX,Childress
MI,Chippewa
WI,Chippewa
MN,Chisago
VT,Chittenden
NC,Chowan
KY,Christian
MO,Christian
NV,Churchill
NM,Cibola
FL,Citrus
OR,Clackamas
WA,Clallam
MI,Clare
SC,Clarendon
PA,Clarion
IN,Clark
KY,Clark
NV,Clark
OH,Clark
WA,Clark
GA,Clarke
IA,Clarke
VA,Clarke
OR,Clatsop
FL,Clay
IN,Clay
KS,Clay
MN,Clay
MO,Clay
TX,Clay
GA,Clayton
CO,Clear Creek
PA,Clearfield
ID,Clearwater
AR,Cleburne
OH,Clermont
OK,Cleveland
IA,Clinton
IL,Clinton
IN,Clinton
MI,Clinton
NY,Clinton
PA,Clinton
KS,Cloud
GA,Cobb
AZ,Cochise
AZ,Coconino
AL,Coffee
TN,Coffee
AL,Colbert
MO,Cole
IL,Coles
NM,Colfax
SC,Colleton
TX,Collin
VA,Colonial Heights City
TX,Colorado
FL,Columbia
GA,Columbia
NY,Columbia
OR,Columbia
PA,Columbia
WI,Columbia
OH,Columbiana
CA,Colusa
TX,Comal
OK,Comanche
CO,Conejos
CA,Contra Costa
AR,Conway
GA,Cook
IL,Cook
TX,Cooke
NH,Coos
OR,Coos
MS,Copiah
NY,Cortland
TX,Coryell
OH,Coshocton
OK,Cotton
GA,Coweta
WA,Cowlitz
AR,Craighead
TX,Crane
NC,Craven
AR,Crawford
GA,Crawford
KS,Crawford
MO,Crawford
OH,Crawford
PA,Crawford
OK,Creek
GA,Crisp
AR,Crittenden
OR,Crook
MN,Crow Wing
CO,Crowley
VA,Culpeper
ME,Cumberland
NC,Cumberland
NJ,Cumberland
PA,Cumberland
TN,Cumberland
VA,Cumberland
NC,Currituck
OR,Curry
MT,Custer
OK,Custer
OH,Cuyahoga
GA,Dade
MN,Dakota
NE,Dakota
AL,Dale
IA,Dallas
MO,Dallas
TX,Dallas
WI,Dane
VA,Danville City
NC,Dare
OH,Darke
PA,Dauphin
NC,Davidson
TN,Davidson
NC,Davie
KY,Daviess
UT,Davis
GA,Dawson
MT,Dawson
IN,De Kalb
FL,De Soto
TX,De Witt
IN,Dearborn
IA,Decatur
IN,Decatur
MT,Deer Lodge
GA,Dekalb
IL,DeKalb
IN,Delaware
NY,Delaware
OH,Delaware
OK,Delaware
PA,Delaware
CO,Delta
MI,Delta
TX,Delta
TX,Denton
CO,Denver
IA,Des Moines
OR,Deschutes
MS,DeSoto
TX,Dickens
KS,Dickinson
TN,Dickson
TX,Dimmit
VA,Dinwiddie
DC,District of Columbia
WV,Doddridge
GA,Dodge
MN,Dodge
NE,Dodge
WI,Dodge
NM,Dona Ana
KS,Doniphan
WI,Door
MD,Dorchester
SC,Dorchester
GA,Dougherty
CO,Douglas
GA,Douglas
IL,Douglas
KS,Douglas
MN,Douglas
NE,Douglas
NV,Douglas
OR,Douglas
WA,Douglas
WI,Douglas
IL,Du Page
IA,Dubuque
UT,Duchesne
MA,Dukes
WI,Dunn
NC,Duplin
NC,Durham
NY,Dutchess
FL,Duval
TN,Dyer
CO,Eagle
LA,East Baton Rouge
TX,Eastland
MI,Eaton
WI,Eau Claire
NM,Eddy
NC,Edgecombe
SC,Edgefield
GA,Effingham
CA,El Dorado
CO,El Paso
TX,El Paso
CO,Elbert
GA,Elbert
IN,Elkhart
NV,Elko
KS,Ellis
TX,Ellis
AL,Elmore
ID,Elmore
GA,Emanuel
MI,Emmet
TX,Erath
NY,Erie
OH,Erie
PA,Erie
FL,Escambia
MA,Essex
NJ,Essex
VA,Essex
VT,Essex
AL,Etowah
GA,Evans
AK,Fairbanks North Star
VA,Fairfax
CT,Fairfield
OH,Fairfield
TX,Falls
GA,Fannin
TX,Fannin
MN,Faribault
AR,Faulkner
VA,Fauquier
GA,Fayette
IA,Fayette
IN,Fayette
KY,Fayette
OH,Fayette
PA,Fayette
TN,Fayette
TX,Fayette
MT,Fergus
WA,Ferry
KS,Finney
FL,Flagler
MT,Flathead
SC,Florence
GA,Floyd
IN,Floyd
KY,Floyd
VA,Floyd
VA,Fluvanna
WI,Fond du Lac
IL,Ford
KS,Ford
MS,Forrest
GA,Forsyth
NC,Forsyth
TX,Fort Bend
AL,Franklin
GA,Franklin
ID,Franklin
IL,Franklin
KS,Franklin
KY,Franklin
MA,Franklin
ME,Franklin
MO,Franklin
NC,Franklin
NY,Franklin
OH,Franklin
PA,Franklin
TN,Franklin
TX,Franklin
VA,Franklin
VT,Franklin
WA,Franklin
VA,Franklin City
MD,Frederick
VA,Frederick
MN,Freeborn
CO,Fremont
ID,Fremont
WY,Fremont
CA,Fresno
TX,Frio
GA,Fulton
KY,Fulton
NY,Fulton
OH,Fulton
FL,Gadsden
NE,Gage
KY,Gallatin
MT,Gallatin
OH,Gallia
TX,Galveston
CO,Garfield
OK,Garfield
AR,Garland
KY,Garrard
MD,Garrett
OK,Garvin
TX,Garza
NC,Gaston
NC,Gates
KS,Geary
OH,Geauga
ID,Gem
MI,Genesee
NY,Genesee
SC,Georgetown
TN,Gibson
AZ,Gila
FL,Gilchrist
TN,Giles
VA,Giles
TX,Gillespie
GA,Gilmer
FL,Glades
MI,Gladwin
CA,Glenn
NJ,Gloucester
VA,Gloucester
GA,Glynn
TX,Gonzales
VA,Goochland
MN,Goodhue
ID,Gooding
GA,Gordon
WY,Goshen
GA,Grady
OK,Grady
NH,Grafton
AZ,Graham
CO,Grand
ND,Grand Forks
VT,Grand Isle
MI,Grand Traverse
IN,Grant
KY,Grant
LA,Grant
NM,Grant
WA,Grant
WI,Grant
NC,Granville
MI,Gratiot
KY,Graves
TX,Gray
WA,Grays Harbor
TX,Grayson
KY,Green
WI,Green
WI,Green Lake
AR,Greene
GA,Greene
IL,Greene
IN,Greene
MO,Greene
NC,Greene
NY,Greene
OH,Greene
PA,Greene
TN,Greene
VA,Greene
SC,Greenville
SC,Greenwood
OK,Greer
TX,Gregg
TX,Grimes
IL,Grundy
TX,Guadalupe
NC,Guilford
FL,Gulf
CO,Gunnison
GA,Gwinnett
GA,Habersham
TX,Hale
NC,Halifax
VA,Halifax
GA,Hall
NE,Hall
TN,Hamblen
IL,Hamilton
IN,Hamilton
KS,Hamilton
NE,Hamilton
OH,Hamilton
TN,Hamilton
MA,Hampden
MA,Hampshire
SC,Hampton
VA,Hampton City
IA,Hancock
IN,Hancock
MS,Hancock
WV,Hancock
VA,Hanover
GA,Haralson
KY,Hardin
OH,Hardin
TX,Hardin
MD,Harford
OK,Harmon
NC,Harnett
KS,Harper
GA,Harris
TX,Harris
MS,Harrison
OH,Harrison
TX,Harrison
WV,Harrison
VA,Harrisonburg City
GA,Hart
CT,Hartford
KS,Harvey
TX,Haskell
HI,Hawaii
TX,Hays
NC,Haywood
TN,Haywood
KY,Henderson
NC,Henderson
TX,Henderson
IN,Hendricks
FL,Hendry
MN,Hennepin
VA,Henrico
AL,Henry
GA,Henry
IL,Henry
IN,Henry
OH,Henry
NY,Herkimer
FL,Hernando
KY,Hickman
TN,Hickman
TX,Hidalgo
FL,Highlands
MT,Hill
TX,Hill
FL,Hillsborough
NH,Hillsborough
MI,Hillsdale
MS,Hinds
NC,Hoke
OH,Holmes
NE,Holt
HI,Honolulu
TX,Hood
OR,Hood River
VA,Hopewell City
TX,Hopkins
SC,Horry
AR,Hot Spring
WY,Hot Springs
MI,Houghton
AL,Houston
GA,Houston
MN,Houston
AR,Howard
IN,Howard
MD,Howard
TX,Howard
NJ,Hudson
CO,Huerfano
OK,Hughes
SD,Hughes
CA,Humboldt
IA,Humboldt
NV,Humboldt
TN,Humphreys
TX,Hunt
NJ,Hunterdon
IN,Huntington
OH,Huron
LA,Iberia
LA,Iberville
CA,Imperial
AR,Independence
FL,Indian River
PA,Indiana
MI,Ingham
CA,Inyo
MI,Ionia
MI,Iosco
WI,Iowa
NC,Iredell
MI,Iron
UT,Iron
IL,Iroquois
MI,Isabella
MN,Isanti
WA,Island
VA,Isle of Wight
MN,Itasca
MS,Itawamba
AR,Izard
AL,Jackson
FL,Jackson
GA,Jackson
IN,Jackson
KS,Jackson
LA,Jackson
MI,Jackson
MO,Jackson
MS,Jackson
NC,Jackson
OH,Jackson
OK,Jackson
OR,Jackson
VA,James City
GA,Jasper
IA,Jasper
MO,Jasper
SC,Jasper
AL,Jefferson
AR,Jefferson
CO,Jefferson
FL,Jefferson
GA,Jefferson
IA,Jefferson
ID,Jefferson
IL,Jefferson
IN,Jefferson
KS,Jefferson
KY,Jefferson
LA,Jefferson
MO,Jefferson
NY,Jefferson
OH,Jefferson
OR,Jefferson
TN,Jefferson
TX,Jefferson
WA,Jefferson
WI,Jefferson
WV,Jefferson
LA,Jefferson Davis
ID,Jerome
IL,Jersey
KY,Jessamine
TX,Jim Wells
IL,Jo Daviess
AR,Johnson
IA,Johnson
IN,Johnson
KS,Johnson
KY,Johnson
MO,Johnson
TX,Johnson
NC,Johnston
OK,Johnston
GA,Jones
IA,Jones
NC,Jones
TX,Jones
OR,Josephine
UT,Juab
WI,Juneau
PA,Juniata
MI,Kalamazoo
MI,Kalkaska
MN,Kanabec
WV,Kanawha
MN,Kandiyohi
IL,Kane
IL,Kankakee
TX,Karnes
TX,Kaufman
AK,Kenai Peninsula
IL,Kendall
TX,Kendall
ME,Kennebec
WI,Kenosha
DE,Kent
MD,Kent
MI,Kent
RI,Kent
KY,Kenton
CA,Kern
TX,Kerr
SC,Kershaw
WI,Kewaunee
WA,King
VA,King George
VA,King William
KS,Kingman
CA,Kings
TX,Kinney
CO,Kit Carson
WA,Kitsap
WA,Kittitas
OR,Klamath
TX,Kleberg
WA,Klickitat
KY,Knox
ME,Knox
OH,Knox
TN,Knox
ID,Kootenai
IN,Kosciusko
AZ,La Paz
IN,La Porte
IL,La Salle
TX,La Salle
PA,Lackawanna
MO,Laclede
LA,Lafayette
MS,Lafayette
LA,Lafourche
IN,Lagrange
CA,Lake
CO,Lake
FL,Lake
IL,Lake
IN,Lake
MI,Lake
MT,Lake
OH,Lake
OR,Lake
GA,Lamar
MS,Lamar
TX,Lamar
TX,Lamb
VT,Lamoille
TX,Lampasas
NE,Lancaster
PA,Lancaster
SC,Lancaster
VA,Lancaster
NV,Lander
OR,Lane
GA,Lanier
MI,Lapeer
WY,Laramie
CO,Larimer
KY,Larue
CO,Las Animas
CA,Lassen
ID,Latah
AL,Lauderdale
MS,Lauderdale
GA,Laurens
SC,Laurens
IN,Lawrence
KY,Lawrence
MO,Lawrence
PA,Lawrence
SD,Lawrence
MN,Le Sueur
NM,Lea
KS,Leavenworth
PA,Lebanon
AL,Lee
FL,Lee
GA,Lee
IL,Lee
MS,Lee
NC,Lee
SC,Lee
TX,Lee
OK,LeFlore
PA,Lehigh
ID,Lemhi
MI,Lenawee
NC,Lenoir
FL,Leon
TX,Leon
FL,Levy
NY,Lewis
WA,Lewis
WV,Lewis
MT,Lewis and Clark
SC,Lexington
GA,Liberty
OH,Licking
TX,Limestone
GA,Lincoln
LA,Lincoln
ME,Lincoln
MO,Lincoln
MT,Lincoln
NC,Lincoln
NE,Lincoln
NM,Lincoln
OR,Lincoln
TN,Lincoln
WA,Lincoln
IA,Linn
KS,Linn
OR,Linn
CT,Litchfield
TX,Live Oak
IL,Livingston
KY,Livingston
LA,Livingston
MI,Livingston
TX,Llano
CO,Logan
IL,Logan
KY,Logan
OH,Logan
OK,Logan
GA,Long
AR,Lonoke
OH,Lorain
NM,Los Alamos
CA,Los Angeles
TN,Loudon
VA,Loudoun
VA,Louisa
OK,Love
GA,Lowndes
MS,Lowndes
TX,Lubbock
OH,Lucas
GA,Lumpkin
NM,Luna
PA,Luzerne
PA,Lycoming
VA,Lynchburg City
KS,Lyon
KY,Lyon
MN,Lyon
NV,Lyon
MI,Mackinac
MI,Macomb
GA,Macon
IL,Macon
NC,Macon
IL,Macoupin
CA,Madera
AL,Madison
FL,Madison
GA,Madison
IA,Madison
ID,Madison
IL,Madison
IN,Madison
KY,Madison
MS,Madison
NC,Madison
NY,Madison
OH,Madison
TN,Madison
TX,Madison
VA,Madison
OH,Mahoning
OR,Malheur
VA,Manassas Park City
FL,Manatee
MI,Manistee
WI,Manitowoc
WI,Marathon
AZ,Maricopa
CA,Marin
WI,Marinette
AR,Marion
FL,Marion
IA,Marion
IN,Marion
OH,Marion
OR,Marion
TN,Marion
TX,Marion
WV,Marion
CA,Mariposa
MI,Marquette
AL,Marshall
IA,Marshall
IL,Marshall
IN,Marshall
KS,Marshall
KY,Marshall
OK,Marshall
WV,Marshall
FL,Martin
NC,Martin
MI,Mason
WA,Mason
AK,Matanuska Susitna
HI,Maui
TN,Maury
TX,Maverick
OK,Mayes
OK,McClain
KY,McCracken
TX,McCulloch
IL,McHenry
GA,McIntosh
PA,McKean
NM,McKinley
IL,McLean
TX,McLennan
MN,McLeod
TN,McMinn
KS,McPherson
KY,Meade
NC,Mecklenburg
VA,Mecklenburg
OH,Medina
TX,Medina
MN,Meeker
OH,Meigs
CA,Merced
IL,Mercer
KY,Mercer
NJ,Mercer
OH,Mercer
WV,Mercer
GA,Meriwether
NH,Merrimack
CO,Mesa
KY,Metcalfe
IN,Miami
KS,Miami
OH,Miami
FL,Miami-Dade
CT,Middlesex
MA,Middlesex
NJ,Middlesex
VA,Middlesex
MI,Midland
PA,Mifflin
MN,Mille Lacs
AR,Miller
IA,Mills
WI,Milwaukee
MT,Mineral
WV,Mineral
SD,Minnehaha
AR,Mississippi
MT,Missoula
GA,Mitchell
NC,Mitchell
TX,Mitchell
AL,Mobile
CO,Moffat
AZ,Mohave
MO,Moniteau
NJ,Monmouth
CA,Mono
WV,Monongalia
FL,Monroe
GA,Monroe
IL,Monroe
IN,Monroe
KY,Monroe
MI,Monroe
NY,Monroe
OH,Monroe
PA,Monroe
TN,Monroe
WI,Monroe
TX,Montague
MI,Montcalm
CA,Monterey
CO,Montezuma
AL,Montgomery
GA,Montgomery
IA,Montgomery
IL,Montgomery
IN,Montgomery
KS,Montgomery
MD,Montgomery
NC,Montgomery
NY,Montgomery
OH,Montgomery
PA,Montgomery
TN,Montgomery
TX,Montgomery
VA,Montgomery
PA,Montour
CO,Montrose
NC,Moore
TN,Moore
TX,Moore
AL,Morgan
GA,Morgan
IN,Morgan
OH,Morgan
UT,Morgan
WV,Morgan
KS,Morris
NJ,Morris
MN,Morrison
OH,Morrow
IL,Moultrie
OR,Multnomah
GA,Murray
IA,Muscatine
GA,Muscogee
MI,Muskegon
OH,Muskingum
OK,Muskogee
MT,Musselshell
NE,Nance
CA,Napa
NC,Nash
FL,Nassau
NY,Nassau
LA,Natchitoches
WY,Natrona
AZ,Navajo
TX,Navarro
KY,Nelson
VA,Nelson
KS,Neosho
CA,Nevada
DE,New Castle
NC,New Hanover
CT,New Haven
VA,New Kent
CT,New London
MI,Newaygo
SC,Newberry
RI,Newport
VA,Newport News City
GA,Newton
IN,Newton
MO,Newton
ID,Nez Perce
NY,Niagara
MN,Nicollet
IN,Noble
OH,Noble
MN,Nobles
TX,Nolan
MA,Norfolk
VA,Norfolk City
NC,Northampton
PA,Northampton
PA,Northumberland
VA,Northumberland
VA,Norton City
VA,Nottoway
OK,Nowata
TX,Nueces
NV,Nye
MI,Oakland
NJ,Ocean
GA,Oconee
SC,Oconee
IL,Ogle
GA,Oglethorpe
WV,Ohio
FL,Okaloosa
FL,Okeechobee
OK,Oklahoma
KY,Oldham
MN,Olmsted
NY,Oneida
WI,Oneida
NY,Onondaga
NC,Onslow
NY,Ontario
CA,Orange
FL,Orange
NC,Orange
NY,Orange
TX,Orange
VA,Orange
VT,Orange
SC,Orangeburg
LA,Orleans
NY,Orleans
VT,Orleans
KS,Osage
MO,Osage
OK,Osage
FL,Osceola
MI,Osceola
MI,Oscoda
NY,Oswego
NM,Otero
NE,Otoe
MI,Otsego
NY,Otsego
MI,Ottawa
OH,Ottawa
MN,Otter Tail
CO,Ouray
WI,Outagamie
ID,Owyhee
WA,Pacific
VA,Page
FL,Palm Beach
NC,Pamlico
CO,Park
MT,Park
WY,Park
TX,Parker
FL,Pasco
NC,Pasquotank
NJ,Passaic
VA,Patrick
GA,Paulding
KS,Pawnee
ID,Payette
OK,Payne
GA,Peach
MS,Pearl River
TX,Pecos
WA,Pend Oreille
NC,Pender
SD,Pennington
ME,Penobscot
IL,Peoria
WI,Pepin
NC,Perquimans
IN,Perry
KY,Perry
MO,Perry
OH,Perry
PA,Perry
TN,Perry
NV,Pershing
NC,Person
VA,Petersburg City
MO,Phelps
PA,Philadelphia
IL,Piatt
OH,Pickaway
GA,Pickens
SC,Pickens
WA,Pierce
WI,Pierce
AL,Pike
GA,Pike
MS,Pike
PA,Pike
AZ,Pima
AZ,Pinal
FL,Pinellas
NC,Pitt
OK,Pittsburg
CA,Placer
LA,Plaquemines
MO,Platte
WY,Platte
CA,Plumas
MA,Plymouth
AR,Polk
FL,Polk
GA,Polk
IA,Polk
MN,Polk
MO,Polk
NC,Polk
OR,Polk
WI,Polk
OK,Pontotoc
AR,Pope
VA,Poquoson City
OH,Portage
IN,Porter
VA,Portsmouth City
IN,Posey
KS,Pottawatomie
OK,Pottawatomie
IA,Pottawattamie
PA,Potter
TX,Potter
KY,Powell
ID,Power
IA,Poweshiek
VA,Powhatan
KS,Pratt
MS,Prentiss
VA,Prince Edward
VA,Prince George
MD,Prince Georges
VA,Prince William
RI,Providence
CO,Prowers
CO,Pueblo
AR,Pulaski
GA,Pulaski
MO,Pulaski
VA,Pulaski
FL,Putnam
GA,Putnam
IL,Putnam
NY,Putnam
TN,Putnam
WV,Putnam
MD,Queen Annes
NY,Queens
GA,Quitman
GA,Rabun
WI,Racine
VA,Radford City
TX,Rains
WV,Raleigh
MN,Ramsey
ND,Ramsey
TX,Randall
IL,Randolph
IN,Randolph
MO,Randolph
NC,Randolph
MS,Rankin
LA,Rapides
VA,Rappahannock
MT,Ravalli
NE,Red Willow
MN,Redwood
TX,Reeves
TX,Refugio
KS,Reno
NY,Rensselaer
MN,Renville
MN,Rice
OH,Richland
SC,Richland
GA,Richmond
NC,Richmond
VA,Richmond
VA,Richmond City
KS,Riley
NM,Rio Arriba
CO,Rio Blanco
CO,Rio Grande
IN,Ripley
CA,Riverside
TN,Roane
VA,Roanoke
VA,Roanoke City
TN,Robertson
TX,Robertson
NC,Robeson
MN,Rock
WI,Rock
IL,Rock Island
VA,Rockbridge
GA,Rockdale
NC,Rockingham
NH,Rockingham
VA,Rockingham
NY,Rockland
TX,Rockwall
OK,Rogers
MT,Roosevelt
OH,Ross
CO,Routt
NC,Rowan
IN,Rush
KS,Rush
TX,Rusk
AL,Russell
NC,Rutherford
TN,Rutherford
VT,Rutland
IA,Sac
CA,Sacramento
ME,Sagadahoc
MI,Saginaw
LA,Saint Bernard
LA,Saint Charles
MO,Saint Charles
AL,Saint Clair
IL,Saint Clair
MI,Saint Clair
WI,Saint Croix
LA,Saint John the Baptist
FL,Saint Johns
IN,Saint Joseph
MI,Saint Joseph
LA,Saint Landry
NY,Saint Lawrence
MN,Saint Louis
MO,Saint Louis
MO,Saint Louis City
FL,Saint Lucie
LA,Saint Martin
LA,Saint Mary
MD,Saint Marys
LA,Saint Tammany
NJ,Salem
VA,Salem City
AR,Saline
KS,Saline
NE,Saline
UT,Salt Lake
CA,San Benito
CA,San Bernardino
CA,San Diego
CA,San Francisco
TX,San Jacinto
CA,San Joaquin
NM,San Juan
WA,San Juan
CA,San Luis Obispo
CA,San Mateo
CO,San Miguel
NM,San Miguel
TX,San Patricio
MT,Sanders
NM,Sandoval
OH,Sandusky
IL,Sangamon
MI,Sanilac
CA,Santa Barbara
CA,Santa Clara
AZ,Santa Cruz
CA,Santa Cruz
NM,Santa Fe
FL,Santa Rosa
FL,Sarasota
NY,Saratoga
NE,Sarpy
WI,Sauk
NY,Schenectady
NY,Schoharie
IL,Schuyler
NY,Schuyler
PA,Schuylkill
OH,Scioto
NC,Scotland
IA,Scott
IN,Scott
KY,Scott
MN,Scott
MO,Scott
GA,Screven
TX,Scurry
AR,Sebastian
KS,Sedgwick
FL,Seminole
GA,Seminole
OK,Seminole
NY,Seneca
OH,Seneca
OK,Sequoyah
TN,Sevier
UT,Sevier
NE,Seward
TX,Shackelford
AR,Sharp
CA,Shasta
KS,Shawnee
WI,Sheboygan
AL,Shelby
IN,Shelby
KY,Shelby
OH,Shelby
TN,Shelby
VA,Shenandoah
MN,Sherburne
MI,Shiawassee
ID,Shoshone
MN,Sibley
NM,Sierra
MT,Silver Bow
KY,Simpson
CA,Siskiyou
WA,Skagit
WA,Skamania
TX,Smith
VA,Smyth
WA,Snohomish
PA,Snyder
NM,Socorro
CA,Solano
MD,Somerset
ME,Somerset
NJ,Somerset
PA,Somerset
TX,Somervell
CA,Sonoma
VA,Southampton
GA,Spalding
SC,Spartanburg
WA,Spokane
VA,Spotsylvania
KS,Stafford
VA,Stafford
CA,Stanislaus
NC,Stanly
OH,Stark
IN,Starke
VA,Staunton City
MN,Stearns
MN,Steele
GA,Stephens
OK,Stephens
IN,Steuben
NY,Steuben
MN,Stevens
WA,Stevens
TN,Stewart
MT,Stillwater
NC,Stokes
AR,Stone
MS,Stone
IA,Story
NH,Strafford
MA,Suffolk
NY,Suffolk
VA,Suffolk City
NH,Sullivan
NY,Sullivan
PA,Sullivan
TN,Sullivan
OH,Summit
KS,Sumner
TN,Sumner
FL,Sumter
SC,Sumter
NC,Surry
VA,Surry
DE,Sussex
NJ,Sussex
CA,Sutter
FL,Suwannee
NC,Swain
WY,Sweetwater
MD,Talbot
AL,Talladega
MO,Taney
LA,Tangipahoa
NM,Taos
TX,Tarrant
GA,Tattnall
KY,Taylor
TX,Taylor
VA,Tazewell
CA,Tehama
CO,Teller
LA,Terrebonne
GA,Terrell
TX,Terry
ID,Teton
GA,Thomas
WA,Thurston
GA,Tift
OR,Tillamook
NY,Tioga
PA,Tioga
IN,Tippecanoe
IN,Tipton
TN,Tipton
KY,Todd
CT,Tolland
TX,Tom Green
NY,Tompkins
UT,Tooele
MT,Toole
GA,Toombs
GA,Towns
MN,Traverse
TX,Travis
KY,Trigg
KY,Trimble
TX,Trinity
GA,Troup
OH,Trumbull
CA,Tulare
OK,Tulsa
MS,Tunica
CA,Tuolumne
GA,Turner
AL,Tuscaloosa
OH,Tuscarawas
ID,Twin Falls
TX,Tyler
UT,Uintah
NY,Ulster
OR,Umatilla
TN,Unicoi
FL,Union
GA,Union
IN,Union
MS,Union
NC,Union
NJ,Union
OH,Union
OR,Union
SD,Union
TX,Upshur
WV,Upshur
GA,Upson
UT,Utah
TX,Val Verde
NM,Valencia
AR,Van Buren
MI,Van Buren
OH,Van Wert
TX,Van Zandt
NC,Vance
IN,Vanderburgh
CA,Ventura
LA,Vermilion
IN,Vermillion
LA,Vernon
IN,Vigo
WI,Vilas
VA,Virginia Beach City
FL,Volusia
OK,Wagoner
WA,Wahkiakum
NC,Wake
FL,Wakulla
ME,Waldo
GA,Walker
TX,Walker
WA,Walla Walla
TX,Waller
FL,Walton
GA,Walton
WI,Walworth
TX,Ward
GA,Ware
IA,Warren
IL,Warren
KY,Warren
MS,Warren
NC,Warren
NJ,Warren
NY,Warren
OH,Warren
PA,Warren
VA,Warren
IN,Warrick
UT,Wasatch
