state,county
Massachusetts,Hampshire
Texas,Ector
Georgia,Paulding
Maryland,Charles
Michigan,St. Clair
New York,Rensselaer
Florida,Martin
Montana,Yellowstone
Texas,Guadalupe
Michigan,Jackson
Minnesota,Stearns
South Carolina,Dorchester
Virginia,Alexandria
North Carolina,Catawba
Idaho,Kootenai
Tennessee,Sullivan
Louisiana,Ouachita
California,Madera
New York,Schenectady
Minnesota,Olmsted
Ohio,Fairfield
Pennsylvania,Franklin
Michigan,Berrien
Florida,Indian River
Indiana,Johnson
Georgia,Houston
Georgia,Bibb
Mississippi,Rankin
New Jersey,Cumberland
Maine,Penobscot
Colorado,Mesa
Connecticut,Tolland
Georgia,Columbia
California,Kings
Maryland,Washington
New Hampshire,Merrimack
Michigan,Monroe
New Mexico,Santa Fe
Iowa,Johnson
Virginia,Stafford
Indiana,Monroe
Minnesota,Scott
Florida,Citrus
North Carolina,Orange
Illinois,Rock Island
Georgia,Douglas
Georgia,Coweta
North Carolina,Randolph
New Mexico,Sandoval
Pennsylvania,Schuylkill
Mississippi,Jackson
Texas,Comal
New Jersey,Sussex
Arizona,Coconino
Oklahoma,Canadian
North Carolina,Rowan
Pennsylvania,Lebanon
California,Napa
Louisiana,Livingston
South Carolina,Florence
Texas,Taylor
Tennessee,Wilson
California,Humboldt
Wisconsin,Marathon
Virginia,Hampton
Wisconsin,Washington
Ohio,Clark
Minnesota,Wright
Michigan,Calhoun
Texas,Randall
Texas,Parker
Illinois,Tazewell
Pennsylvania,Cambria
Virginia,Spotsylvania
North Carolina,Robeson
Iowa,Black Hawk
North Carolina,Harnett
Louisiana,Tangipahoa
North Carolina,Brunswick
Texas,Wichita
Pennsylvania,Fayette
Texas,Grayson
Louisiana,Rapides
Kentucky,Boone
Ohio,Wood
Tennessee,Blount
Indiana,Madison
New Hampshire,Strafford
Kentucky,Warren
New York,Chautauqua
Tennessee,Washington
Arkansas,Sebastian
New Mexico,San Juan
Louisiana,Bossier
Massachusetts,Berkshire
Georgia,Clarke
Rhode Island,Washington
Illinois,Kendall
Arizona,Cochise
Washington,Skagit
Oregon,Linn
Florida,Sumter
New Jersey,Hunterdon
Utah,Cache
South Carolina,Pickens
Texas,Kaufman
Arkansas,Faulkner
North Carolina,Wayne
Texas,Gregg
Pennsylvania,Blair
Louisiana,Ascension
Oklahoma,Comanche
Maine,Kennebec
Ohio,Richland
Kansas,Douglas
Missouri,Jasper
Texas,Potter
Arkansas,Saline
Alabama,Morgan
New York,Oswego
Texas,Tom Green
Wisconsin,La Crosse
Montana,Missoula
Georgia,Carroll
Connecticut,Windham
Indiana,Clark
Michigan,Allegan
Ohio,Wayne
Georgia,Lowndes
West Virginia,Berkeley
Wisconsin,Sheboygan
Indiana,Delaware
North Carolina,Henderson
Alabama,Calhoun
Idaho,Bonneville
Pennsylvania,Lycoming
New York,Jefferson
Georgia,Fayette
Maryland,St. Mary's
Louisiana,Terrebonne
Pennsylvania,Mercer
South Dakota,Pennington
Illinois,Kankakee
Indiana,LaPorte
Florida,Flagler
Illinois,LaSalle
New York,Ontario
Michigan,Eaton
Arizona,Navajo
Oregon,Douglas
New York,St. Lawrence
Kentucky,Hardin
Georgia,Newton
Montana,Gallatin
Maine,Androscoggin
Indiana,Vigo
Virginia,Albemarle
Arkansas,Craighead
Washington,Cowlitz
South Carolina,Sumter
New Jersey,Warren
Tennessee,Bradley
Virginia,Hanover
Illinois,Macon
West Virginia,Monongalia
Ohio,Miami
Alaska,Matanuska-Susitna
Georgia,Bartow
Oregon,Yamhill
Alabama,Houston
Mississippi,Madison
Illinois,DeKalb
Georgia,Whitfield
Michigan,Bay
Missouri,Cass
Wisconsin,Eau Claire
Florida,Highlands
Missouri,Franklin
Ohio,Columbiana
Ohio,Allen
Wisconsin,Walworth
Alabama,Etowah
New York,Tompkins
Wisconsin,Fond du Lac
Iowa,Woodbury
Maryland,Cecil
Maryland,Wicomico
North Carolina,Craven
Pennsylvania,Adams
Minnesota,Carver
Missouri,Platte
Kentucky,Daviess
Montana,Flathead
California,Nevada
Virginia,Roanoke
Alaska,Fairbanks North Star
New York,Putnam
Arkansas,Garland
Michigan,Lenawee
Wyoming,Laramie
Virginia,Montgomery
Louisiana,Lafourche
Ohio,Ashtabula
Tennessee,Madison
Georgia,Floyd
North Carolina,Moore
North Carolina,Cleveland
Texas,Rockwall
Tennessee,Sevier
Iowa,Dubuque
Iowa,Story
New York,Steuben
California,Sutter
Alabama,Marshall
Washington,Grant
Virginia,Portsmouth
North Dakota,Burleigh
Alabama,Limestone
Minnesota,Sherburne
West Virginia,Cabell
Texas,Hunt
North Carolina,Nash
Ohio,Geauga
Iowa,Pottawattamie
Texas,Bowie
New Jersey,Cape May
Kentucky,Campbell
Alabama,Lauderdale
Ohio,Tuscarawas
South Carolina,Lancaster
Michigan,Grand Traverse
Texas,Victoria
Washington,Franklin
Tennessee,Maury
Pennsylvania,Northumberland
Maryland,Calvert
Georgia,Walton
Oklahoma,Rogers
Oregon,Benton
North Carolina,Rockingham
Kentucky,Madison
New York,Wayne
Virginia,Suffolk
North Carolina,Burke
New Hampshire,Grafton
Georgia,Rockdale
Georgia,Dougherty
Wisconsin,St. Croix
Wisconsin,Ozaukee
Missouri,Buchanan
Michigan,Lapeer
Alabama,St. Clair
Wisconsin,Dodge
South Carolina,Orangeburg
Texas,Angelina
California,Mendocino
Iowa,Dallas
Pennsylvania,Lawrence
Virginia,Frederick
Oregon,Josephine
Ohio,Muskingum
Idaho,Bannock
Pennsylvania,Crawford
Missouri,Christian
Mississippi,Lee
Pennsylvania,Indiana
West Virginia,Wood
New York,Chemung
Idaho,Twin Falls
Wisconsin,Jefferson
Texas,Bastrop
Georgia,Glynn
Texas,Orange
Texas,Liberty
Michigan,Midland
Louisiana,St. Landry
Florida,Nassau
Oregon,Polk
North Carolina,Lincoln
Washington,Island
Alabama,Cullman
Rhode Island,Newport
Indiana,Bartholomew
Indiana,Howard
North Carolina,Caldwell
Oklahoma,Payne
Montana,Cascade
North Carolina,Wilson
Alabama,Elmore
Texas,Henderson
Kansas,Leavenworth
New York,Clinton
Virginia,Lynchburg
Alabama,Talladega
Wyoming,Natrona
Virginia,Rockingham
Kentucky,Bullitt
Pennsylvania,Clearfield
Wisconsin,Manitowoc
Indiana,Kosciusko
Georgia,Barrow
Oklahoma,Wagoner
Arkansas,White
Missouri,Cape Girardeau
Michigan,Clinton
Virginia,Bedford
Washington,Lewis
Illinois,Vermilion
South Carolina,Oconee
Tennessee,Putnam
New York,Cayuga
Indiana,Floyd
Oregon,Umatilla
New York,Cattaraugus
Ohio,Ross
Missouri,Cole
California,Yuba
Mississippi,Lauderdale
Washington,Chelan
Georgia,Bulloch
Tennessee,Anderson
New Hampshire,Cheshire
Ohio,Scioto
New Mexico,Valencia
Ohio,Hancock
Florida,Monroe
Washington,Clallam
Michigan,Van Buren
Texas,Coryell
West Virginia,Raleigh
Mississippi,Forrest
Indiana,Hancock
New York,Sullivan
Virginia,Augusta
Kansas,Riley
Virginia,James City
Ohio,Erie
Pennsylvania,Somerset
Florida,Putnam
Wisconsin,Wood
Washington,Grays Harbor
Arkansas,Lonoke
New Mexico,McKinley
Texas,Walker
Oklahoma,Pottawatomie
North Carolina,Surry
Louisiana,Iberia
Hawaii,Kauai
Arizona,Apache
Maryland,Allegany
Oklahoma,Creek
Kentucky,Christian
North Carolina,Chatham
Alabama,DeKalb
New York,Madison
Michigan,Isabella
Wisconsin,Portage
Massachusetts,Franklin
South Carolina,Greenwood
Tennessee,Robertson
New Mexico,Lea
North Dakota,Grand Forks
Florida,Columbia
Indiana,Morgan
Georgia,Troup
Virginia,Fauquier
Arkansas,Jefferson
North Carolina,Carteret
Georgia,Walker
Tennessee,Greene
North Dakota,Ward
Oklahoma,Muskogee
North Carolina,Wilkes
Mississippi,Jones
Michigan,Shiawassee
Florida,Walton
Ohio,Belmont
Virginia,York
West Virginia,Harrison
Colorado,Broomfield
Georgia,Jackson
Maine,Aroostook
Montana,Lewis and Clark
Utah,Tooele
Illinois,Williamson
South Carolina,Darlington
Texas,San Patricio
Oregon,Klamath
South Carolina,Laurens
Minnesota,Blue Earth
Georgia,Catoosa
Kansas,Butler
Michigan,Marquette
Missouri,St. Francois
North Carolina,Rutherford
Texas,Harrison
Indiana,Grant
Ohio,Jefferson
North Carolina,Franklin
Indiana,Wayne
Texas,Wise
Minnesota,Rice
New Mexico,Otero
Illinois,Adams
Kentucky,Oldham
Ohio,Athens
Pennsylvania,Armstrong
Pennsylvania,Columbia
Indiana,Boone
Texas,Nacogdoches
Georgia,Spalding
Ohio,Marion
Kentucky,McCracken
New Mexico,Chaves
South Carolina,Kershaw
Kentucky,Pulaski
Michigan,Ionia
New York,Warren
Minnesota,Crow Wing
California,Lake
Tennessee,Hamblen
Alabama,Walker
Texas,Starr
Wisconsin,Sauk
California,Tehama
Wisconsin,Chippewa
Pennsylvania,Carbon
Washington,Mason
Arkansas,Pope
Oregon,Coos
New York,Livingston
Minnesota,Clay
Michigan,Montcalm
North Carolina,Sampson
New Jersey,Salem
Kansas,Reno
Arkansas,Crawford
Louisiana,Acadia
Indiana,Warrick
New York,Herkimer
Mississippi,Lamar
South Carolina,Georgetown
Oklahoma,Garfield
New York,Washington
North Carolina,Stanly
Ohio,Knox
Tennessee,Tipton
Georgia,Liberty
Nebraska,Hall
Virginia,Pittsylvania
North Carolina,Haywood
Pennsylvania,Bradford
New Hampshire,Belknap
Michigan,St. Joseph
Michigan,Barry
North Carolina,Lee
Georgia,Effingham
Ohio,Washington
North Carolina,Pender
California,San Benito
New York,Columbia
Washington,Walla Walla
Kentucky,Laurel
Ohio,Lawrence
New York,Otsego
West Virginia,Mercer
Louisiana,Vermilion
Kentucky,Pike
North Carolina,Granville
Tennessee,Cumberland
Mississippi,Lowndes
Colorado,Garfield
Ohio,Sandusky
North Carolina,Duplin
Vermont,Rutland
Alaska,Kenai Peninsula
Vermont,Washington
Ohio,Huron
Texas,Hood
Minnesota,Otter Tail
Missouri,Newton
Texas,Maverick
Illinois,Jackson
Alabama,Russell
Texas,Anderson
New York,Genesee
Ohio,Pickaway
New Mexico,Eddy
Alabama,Blount
Maine,Oxford
Georgia,Gordon
Wisconsin,Columbia
South Carolina,Cherokee
South Dakota,Lincoln
Texas,Hardin
North Carolina,Lenoir
Ohio,Union
Tennessee,Hawkins
West Virginia,Putnam
West Virginia,Jefferson
Missouri,Lincoln
Tennessee,Carter
West Virginia,Marion
Virginia,Franklin
North Carolina,Columbus
Illinois,Whiteside
Colorado,La Plata
Pennsylvania,Pike
Alabama,Autauga
Ohio,Seneca
Minnesota,Chisago
Vermont,Windsor
Virginia,Campbell
Mississippi,Pearl River
Tennessee,Coffee
Missouri,Taney
Texas,Van Zandt
Oklahoma,Grady
North Carolina,Watauga
Nevada,Carson City
Alabama,Colbert
Kansas,Saline
Colorado,Eagle
Kentucky,Scott
Maine,Hancock
Nevada,Lyon
Virginia,Washington
California,Tuolumne
North Carolina,Hoke
Utah,Box Elder
Texas,Rusk
Louisiana,St. Martin
Missouri,Johnson
Tennessee,Jefferson
New York,Fulton
Mississippi,Lafayette
Arizona,Gila
Illinois,Boone
Ohio,Ashland
Virginia,Harrisonburg
Georgia,Camden
Tennessee,Roane
Tennessee,McMinn
Kentucky,Jessamine
Michigan,Tuscola
Louisiana,St. Charles
Tennessee,Dickson
North Carolina,Edgecombe
Missouri,Pulaski
Tennessee,Loudon
Nevada,Elko
Texas,Cherokee
Oklahoma,Washington
Alabama,Jackson
Texas,Kerr
Texas,Waller
Pennsylvania,Venango
Maryland,Worcester
Wisconsin,Grant
Alabama,Coffee
Michigan,Cass
Ohio,Darke
Pennsylvania,Wayne
Oregon,Columbia
Illinois,Coles
Virginia,Henry
Wisconsin,Waupaca
Utah,Iron
North Carolina,Halifax
Virginia,Culpeper
Illinois,Ogle
Louisiana,St. Mary
Minnesota,Winona
Illinois,Grundy
Kentucky,Franklin
Maine,Somerset
Illinois,Knox
New York,Franklin
Iowa,Warren
Texas,Medina
Oklahoma,Le Flore
Wisconsin,Calumet
New Mexico,Curry
Louisiana,Vernon
Maryland,Queen Anne's
Texas,Lamar
Texas,Atascosa
Mississippi,Oktibbeha
Indiana,Dearborn
New York,Montgomery
Alabama,Dale
Illinois,Henry
Washington,Whitman
Tennessee,Gibson
Nebraska,Buffalo
Texas,Wilson
Vermont,Franklin
Texas,Navarro
Texas,Val Verde
Texas,Polk
Rhode Island,Bristol
Ohio,Shelby
New York,Tioga
Arkansas,Crittenden
Oklahoma,Cherokee
Oregon,Lincoln
Michigan,Newaygo
Pennsylvania,Bedford
Oklahoma,Carter
Tennessee,Bedford
Indiana,Henry
New Hampshire,Carroll
Nevada,Douglas
Florida,Jackson
New York,Chenango
New York,Cortland
Kentucky,Boyd
Indiana,Noble
New York,Greene
Wyoming,Campbell
Georgia,Laurens
Kentucky,Shelby
Colorado,Fremont
Louisiana,Lincoln
Oklahoma,Osage
North Carolina,Beaufort
Virginia,Charlottesville
Mississippi,Hancock
Iowa,Clinton
New York,Allegany
Oklahoma,Logan
Texas,Burnet
Mississippi,Warren
Arizona,Santa Cruz
Indiana,Marshall
Oklahoma,Bryan
Louisiana,Washington
Minnesota,Beltrami
Pennsylvania,Mifflin
Louisiana,St. Bernard
Minnesota,Goodhue
Tennessee,Monroe
Mississippi,Washington
Pennsylvania,Perry
South Carolina,Chesterfield
Florida,Gadsden
Washington,Kittitas
Idaho,Bingham
Kentucky,Henderson
North Carolina,Stokes
Wisconsin,Monroe
Michigan,Hillsdale
Ohio,Auglaize
Kentucky,Nelson
Indiana,Lawrence
California,Calaveras
Georgia,Colquitt
Missouri,Camden
Illinois,Macoupin
Pennsylvania,Huntingdon
Kentucky,Hopkins
Ohio,Logan
Wisconsin,Barron
North Carolina,McDowell
Minnesota,Itasca
Georgia,Baldwin
Pennsylvania,Union
Illinois,Stephenson
North Carolina,Richmond
New York,Delaware
Arkansas,Greene
Missouri,Callaway
Wisconsin,Dunn
Washington,Stevens
Georgia,Thomas
Missouri,Phelps
Georgia,Habersham
North Carolina,Vance
Indiana,Shelby
Oklahoma,Kay
Nevada,Nye
Texas,Wood
Oklahoma,Pittsburg
Ohio,Madison
Alabama,Chilton
Florida,Suwannee
Indiana,Jackson
Ohio,Holmes
Kentucky,Barren
Pennsylvania,Jefferson
Texas,Kendall
Oklahoma,Stephens
Idaho,Bonner
West Virginia,Fayette
Arkansas,Miller
Ohio,Brown
Wyoming,Sweetwater
Michigan,Branch
California,Siskiyou
Wisconsin,Polk
Tennessee,Lawrence
Wisconsin,Douglas
Michigan,Mecosta
Louisiana,St. John the Baptist
Virginia,Shenandoah
New Hampshire,Sullivan
Georgia,Coffee
Ohio,Highland
North Carolina,Jackson
Indiana,DeKalb
Iowa,Muscatine
Minnesota,Kandiyohi
Iowa,Cerro Gordo
Vermont,Windham
Missouri,Butler
Indiana,Dubois
Montana,Ravalli
Oklahoma,Delaware
Missouri,Pettis
North Carolina,Davie
Ohio,Fulton
Texas,Caldwell
West Virginia,Ohio
Arkansas,Mississippi
Washington,Douglas
Wisconsin,Pierce
Ohio,Clinton
Georgia,Polk
Washington,Okanogan
Texas,Erath
Ohio,Crawford
Tennessee,Franklin
Oklahoma,Sequoyah
Colorado,Montrose
Virginia,Tazewell
Texas,Wharton
Arkansas,Baxter
Pennsylvania,McKean
Texas,Chambers
Michigan,Sanilac
Virginia,Manassas
Florida,Okeechobee
Utah,Summit
Ohio,Preble
Virginia,Danville
Oklahoma,Mayes
Texas,Upshur
Texas,Jim Wells
Pennsylvania,Susquehanna
Pennsylvania,Tioga
Michigan,Gratiot
New York,Orleans
Wisconsin,Shawano
Ohio,Mercer
Florida,Hendry
Tennessee,Warren
Louisiana,Avoyelles
Ohio,Ottawa
Alabama,Tallapoosa
Georgia,Tift
Pennsylvania,Snyder
Florida,Levy
Wisconsin,Marinette
New York,Wyoming
West Virginia,Wayne
Idaho,Nez Perce
Tennessee,Cheatham
Tennessee,Fayette
Minnesota,Benton
Missouri,Howell
Texas,Cooke
Iowa,Marshall
Indiana,Harrison
Wyoming,Fremont
Minnesota,Mower
Tennessee,Campbell
Maine,Knox
Pennsylvania,Warren
Georgia,Murray
Maine,Waldo
Mississippi,Pike
North Carolina,Pasquotank
Idaho,Latah
Virginia,Warren
Arkansas,Union
Minnesota,Isanti
Iowa,Des Moines
North Carolina,Person
Oklahoma,McClain
Louisiana,Webster
Indiana,LaGrange
New Mexico,Rio Arriba
Alabama,Dallas
Ohio,Guernsey
Oregon,Clatsop
Idaho,Madison
Kansas,Crawford
Illinois,Franklin
South Dakota,Brown
Pennsylvania,Clinton
Ohio,Champaign
Kentucky,Calloway
Louisiana,Natchitoches
Oklahoma,Okmulgee
Pennsylvania,Clarion
Illinois,Woodford
Missouri,Webster
Missouri,Scott
Virginia,Wise
California,Amador
Wyoming,Albany
Oklahoma,Pontotoc
Indiana,Montgomery
Missouri,Lawrence
South Carolina,Newberry
Ohio,Defiance
Georgia,Oconee
Virginia,Prince George
Arizona,Graham
Illinois,Jefferson
Indiana,Cass
Texas,Brown
Illinois,Marion
Wisconsin,Oconto
Illinois,Clinton
Michigan,Chippewa
North Carolina,Yadkin
South Carolina,Colleton
Minnesota,Douglas
New York,Essex
Arkansas,Independence
Tennessee,Dyer
Indiana,Putnam
Arkansas,Boone
Kentucky,Graves
Virginia,Gloucester
North Carolina,Alexander
Alabama,Covington
Maryland,Talbot
Mississippi,Alcorn
Indiana,Knox
Georgia,Bryan
Alabama,Escambia
Louisiana,Beauregard
Iowa,Jasper
Florida,DeSoto
Wisconsin,Green
Vermont,Addison
Pennsylvania,Greene
Ohio,Williams
Texas,Matagorda
Kansas,Finney
Minnesota,Steele
Nebraska,Dodge
Virginia,Isle of Wight
Ohio,Coshocton
Iowa,Webster
Texas,Hopkins
Kentucky,Floyd
Indiana,Huntington
Texas,Howard
North Carolina,Dare
Kentucky,Whitley
Utah,Uintah
Nebraska,Scotts Bluff
Michigan,Houghton
Virginia,Louisa
Illinois,Livingston
Michigan,Delta
Ohio,Perry
Virginia,Orange
Kentucky,Clark
Minnesota,McLeod
Indiana,Miami
Vermont,Bennington
Texas,Hill
Mississippi,Monroe
Minnesota,Carlton
Mississippi,Marshall
Georgia,Ware
Kentucky,Greenup
Tennessee,Cocke
Missouri,Laclede
Missouri,Barry
Texas,Jasper
Maine,Sagadahoc
Wisconsin,Oneida
Indiana,Adams
Kansas,Cowley
Nebraska,Lincoln
North Dakota,Williams
Texas,Washington
West Virginia,Greenbrier
Iowa,Wapello
Illinois,Fulton
Nebraska,Madison
North Carolina,Scotland
Ohio,Morrow
Oklahoma,Lincoln
Iowa,Sioux
North Carolina,Macon
Montana,Silver Bow
South Dakota,Brookings
Wisconsin,Clark
Virginia,Halifax
Texas,Fannin
Kansas,Harvey
Indiana,Steuben
Missouri,Warren
New York,Seneca
Illinois,Lee
Mississippi,Lincoln
Illinois,Morgan
Iowa,Lee
Maine,Lincoln
Mississippi,Panola
Virginia,Pulaski
Kansas,Ford
Illinois,Monroe
Illinois,Effingham
Georgia,Harris
Kansas,Geary
Minnesota,Becker
South Carolina,Clarendon
Minnesota,Nicollet
Tennessee,Lincoln
Ohio,Putnam
Texas,Hale
North Carolina,Transylvania
Indiana,Whitley
West Virginia,Preston
Alabama,Chambers
Indiana,Gibson
Arkansas,Hot Spring
Louisiana,Evangeline
Tennessee,Weakley
Indiana,Jasper
Kansas,Miami
North Carolina,Bladen
Virginia,Botetourt
Alabama,Pike
Michigan,Wexford
Kansas,Lyon
